address	bundle	op	role	defs	uses	text
0x7de	0	vldb	vector_load	vec11.lo, vec11.hi	p1<-entry:entry	vldb	 x11, [p1], #0x40
0x7de	1	vmac.f	mac_accumulate	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	acc1.bmll<-mac_accumulate:g1@0x7d2.1:vmac.f; acc1.bmlh<-mac_accumulate:g1@0x7d2.1:vmac.f; acc1.bmhl<-mac_accumulate:g1@0x7d2.1:vmac.f; acc1.bmhh<-mac_accumulate:g1@0x7d2.1:vmac.f; vec9.lo<-unpacked_q4:g1@0x7c2.0:vunpack; vec9.hi<-unpacked_q4:g1@0x7c2.0:vunpack; vec10.lo<-unpacked_q4:g1@0x7ce.0:vunpack; vec10.hi<-unpacked_q4:g1@0x7ce.0:vunpack; r4<-entry:entry	vmac.f	dm1, dm1, x9, x10, r4
0x7e6	0	vups.4x	expanded_q4	acc2.bmll, acc2.bmlh, acc2.bmhl, acc2.bmhh	vec9.lo<-unpacked_q4:g1@0x7c2.0:vunpack; vec9.hi<-unpacked_q4:g1@0x7c2.0:vunpack; s0<-entry:entry; upssign0<-entry:entry	vups.4x	dm2, x9, s0, upssign0
0x7ea	0	vadd	vector_arith	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	acc2.bmll<-expanded_q4:g2@0x7e6.0:vups.4x; acc2.bmlh<-expanded_q4:g2@0x7e6.0:vups.4x; acc2.bmhl<-expanded_q4:g2@0x7e6.0:vups.4x; acc2.bmhh<-expanded_q4:g2@0x7e6.0:vups.4x; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r0<-entry:entry	vadd	dm1, dm2, dm0, r0
0x7ee	0	vups.4x	expanded_q4	acc2.bmll, acc2.bmlh, acc2.bmhl, acc2.bmhh	vec8.lo<-unpacked_q4:g1@0x7ca.0:vunpack; vec8.hi<-unpacked_q4:g1@0x7ca.0:vunpack; s0<-entry:entry; upssign0<-entry:entry	vups.4x	dm2, x8, s0, upssign0
0x7ee	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc1.bmll<-vector_arith:g2@0x7ea.0:vadd; acc1.bmlh<-vector_arith:g2@0x7ea.0:vadd; acc1.bmhl<-vector_arith:g2@0x7ea.0:vadd; acc1.bmhh<-vector_arith:g2@0x7ea.0:vadd; vec4.lo<-bf16_coeff:g1@0x76c.0:vconv.bf16.fp32; vec4.hi<-bf16_coeff:g1@0x76c.0:vconv.bf16.fp32; vec0.lo<-vector_load:g1@0x7d2.0:vldb; vec0.hi<-vector_load:g1@0x7d2.0:vldb; r4<-entry:entry	vmac.f	dm3, dm1, x4, x0, r4
0x7f6	0	vsub.f	vector_arith	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	acc1.bmll<-vector_arith:g2@0x7ea.0:vadd; acc1.bmlh<-vector_arith:g2@0x7ea.0:vadd; acc1.bmhl<-vector_arith:g2@0x7ea.0:vadd; acc1.bmhh<-vector_arith:g2@0x7ea.0:vadd; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r5<-entry:entry	vsub.f	dm1, dm1, dm0, r5
0x7fa	0	vadd	vector_arith	acc2.bmll, acc2.bmlh, acc2.bmhl, acc2.bmhh	acc2.bmll<-expanded_q4:g2@0x7ee.0:vups.4x; acc2.bmlh<-expanded_q4:g2@0x7ee.0:vups.4x; acc2.bmhl<-expanded_q4:g2@0x7ee.0:vups.4x; acc2.bmhh<-expanded_q4:g2@0x7ee.0:vups.4x; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r0<-entry:entry	vadd	dm2, dm2, dm0, r0
0x7fe	0	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x7ee.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x7ee.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x7ee.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x7ee.1:vmac.f; vec3.lo<-register_move:g1@0x7ac.0:vmov; vec3.hi<-bf16_coeff:g1@0x73c.0:vconv.bf16.fp32; vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb; r4<-entry:entry	vmac.f	dm3, dm3, x3, x11, r4
0x802	0	vextbcst.16	activation_lane_broadcast	vec7.lo, vec7.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x7, x11, #0x0
